BibNumber,ItemBarcode,ItemType,Collection,CallNumber,CheckoutDateTime
1842225,0010035249209,acbk,namys,MYSTERY ELKINS1999,05/23/2005 03:20:00 PM
1928264,0010037335444,jcbk,ncpic,E TABACK,12/14/2005 05:56:00 PM
1982511,0010039952527,jcvhs,ncvidnf,VHS J796.2 KNOW_YO 2000,08/11/2005 01:52:00 PM
2026467,0010040985615,accd,nacd,CD 782.421642 Y71T,10/19/2006 07:47:00 PM
2174698,0010047696215,jcbk,ncpic,E KROSOCZ,12/29/2006 03:42:00 PM
1602768,0010028318730,jcbk,ncpic,E BLACK,10/08/2007 02:15:00 PM
2285195,0010053424767,accd,cacd,CD 782.42166 F19R,09/30/2007 10:16:00 AM
2245955,0010048392665,jcbk,ncnf,J949.73 Or77S 2004,12/05/2007 05:03:00 PM
770918,0010044828100,jcbk,ncpic,E HILL,07/22/2008 03:17:00 PM
2288252,0010053488788,jcdvd,ncdvd,DVD J HOW DO,05/05/2008 11:18:00 AM
2129883,0010044896768,acdvd,nadvd,DVD GOOD TH,06/08/2008 05:44:00 PM
1100696,0010039424485,acbk,nypb,FIC COONEY,05/27/2007 04:54:00 PM
2285204,0010053420229,accd,nacd,CD 782.421649 B7391B,05/19/2010 05:30:00 PM
2122199,0010042855428,acvhs,navid,VHS CHEYENN,04/15/2012 01:56:00 PM
2294522,0010053508502,accd,nacd,CD 782.14 Sch958W,05/21/2015 12:03:00 PM
770947,0010050406320,jcbk,ncpic,E MCCLOSK,11/15/2015 01:53:00 PM
1960408,0010040719808,jcbk,ncrdr,ER HENNESS,05/13/2005 11:19:00 AM
2108680,0010045525168,acbk,nasf,SCI-FIC SALVATO,09/08/2005 03:03:00 PM
